source,fact
Alt News,BJP used a picture of Tamil writer Perumal Murugan in slum yatra yatra poster
Alt News,Fact-check: The picture of UPTET candidates sleeping on the roadside at night viral?
Alt News,Fact-check: Akhilesh Yadav did not reach Akhilesh Yadav to pay tribute to Atal Bihari Vajpayee?
Alt News,UP's video viral with claims of running a madrasa in Delhi government school
Alt News,The viral video of a sharp debate between Akhilesh Yadav and Shivpal Yadav is of 2016
Alt News,The wrong claim to insult the idol by a Christian priest appointed in a temple in Tamil Nadu viral
Alt News,Fact-check: AAP talked about dividing in Goa on the basis of caste-religion?
Alt News,BJP targeted Congress by telling Rajasthan in UP
Alt News,"Share by stating the picture of Muslim shop damaged in Amravati violence, saying ""violence against Hindus"""
Alt News,Congress's wrong claim that PM Modi's security officer stopped Shivraj Singh Chauhan from walking together
Alt News,President Ram Nath Kovind sought permission from PM Modi to withdraw Padma Shri from Kangana Ranaut?
Alt News,BJP leaders shared incomplete statement of Congress leader Rashid Alvi with incorrect context
Alt News,"Shah Rukh Khan did not wear ""Vote for Mim"" T-shirt, edited photo viral"
Alt News,Old video share with claims of taking out a demonstration rally in Kerala against Tripura violence
Alt News,"Fact-check: Akhilesh Yadav said that ""Jinnah gave us freedom""?"
Alt News,Video of the murder of criminal in Bengaluru shared by linking with communal violence in Tripura
Alt News,BBC video report on Delhi riots shared by police collusion in Tripura violence
Alt News,Tripura violence: UP's video sharing by telling a rally of Muslims against the recent communal violence
Alt News,Tripura Violence: Bihar's 2018 video shared as the police support the mob
Alt News,Demand to declare Britain as an Islamic state? Fake claim shared with old videos
Alt News,11 year old video was shared as beating SP leader Kamal Akhtar
Alt News,"Pradhan Mantri Ramban Security Scheme: Fake message of fake scheme viral, will not get 4 thousand rupees"
Alt News,"Prakash Javadekar tweeted the video of the train carrying coal, it is 8 months old"
Alt News,"Sharing a picture of West Bengal of 2016, he told him of ISKCON's monk killed in Bangladesh"
Alt News,The strength of Indian passport has increased under the leadership of Narendra Modi? How correct Amit Shah's claim?
Alt News,"Student was beaten up after walking out of class, Sudarshan News shared video from communal angle"
Alt News,The video of the kidnapping of a petrol pump employee is not from Uttar Pradesh but from Saudi Arabia
Alt News,Sambit Patra shared an unfinished part of Priyanka Gandhi's rally and accused of Muslim appeasement
Alt News,The old picture of anti-CAA performance in Maharashtra was shared as violence in Kashmir
Alt News,"Rajnath Singh's claim that Gandhi had advised Savarkar to write Mafinama, what is the truth?"
Alt News,Picture of 2018 shared with claims of making policemen fruitful in Navratri for the first time in UP
Alt News,Arvind Kejriwal asked the people of Delhi to donate coal? Edged add shares
Alt News,"These pictures were made by Chinese soldiers, not the scene of the film on India-China confrontation in the flock"
Alt News,"Punjab CM Charanjit Channi did not accept Christianity, someone else seen in viral video"
Alt News,The video of British Indians opposing Pakistan in London is not recent but February 2019
Alt News,"E-rickshaws taking policemen in Rajasthan overturned, Congress shared UP as"
Alt News,"Fact-check: Ankit Das, the owner of the second vehicle on the farmers, is actually a Congress supporter?"
Alt News,Arvind Kejriwal was mocked by editing the advertisement printed in the newspaper on Gandhi Jayanti
Alt News,"CAA, a person speaking against NRC is not a teacher of DPS Rajbagh, the video is from Banaras"
Alt News,The video of people opposing Baba Ramdev at the airport is 4 years old
Alt News,BJP MP shared a picture of New Zealand by telling Gujarat's highway
Alt News,Did people run away by people during PM Modi's visit to America?
Alt News,"In Delhi, the girl accused the accused of raping the accused as a Muslim, an attempt to connect with AAP"
Alt News,Patna's 5 -year -old picture was shared to prove the Bharat Bandh of Kisan Morcha to be ineffective
Alt News,NYT described him with a picture of Narendra Modi on the front page as 'the last hope of the earth'?
Alt News,The video of abusing him abusive during Narendra Modi's US visit is misleading and is of 2019
Alt News,Fact-check: A chair was kept for Sonia Gandhi in the meeting and the rest of the people including PM Manmohan Singh stood?
Alt News,Fact-check: RSS volunteers saluted the queen of England?
Alt News,"Dalveer Bhandari was not elected Chief Justice of ICJ, wrong claim while praising Modi"
Alt News,The video of the distribution of liquor is not of the peasant movement but of Ludhiana where alcohol is offered
Alt News,Taliban praised RSS and BJP? Pakistan's video viral with fake claims
Alt News,Fake claim: Muslims spit in the food served to farmers in Muzaffarnagar
Alt News,Communal claim was made by sharing a picture of one in the series of Aditya Thackeray's old banners.
Alt News,Narendra Modi called Tripura's IAS officer to repair the highway? Truth of viral story
Alt News,The journalist asked the farmers to 'teach' before coming on camera? Video went viral with fake claim
Alt News,"Rakesh Tikait's video is being shared with a misleading claim, chanting the slogan of 'Allah Hu Akbar'"
Alt News,"Yati Narasimhanand's wrong claim, his objectionable things about women in politics were not edited"
Alt News,These videos are not of Afghan citizens who are fleeing Pakistan after the Taliban capture
Alt News,Gold winner Neeraj Chopra belongs to the Maratha dynasty? Allt news investigation
Alt News,Fact-check: Janmashtami's procession took place for the first time in 32 years in Srinagar?
Alt News,The old video of Karnataka was shared as the performance of the Hindu community in Ujjain
Alt News,The old video was shared by Pakistani Taliban stating the recent incident of threatening India
Alt News,"BJP councilor who sent pornographic messages beat up woman, video is viral in wrong context"
Alt News,The Islamic symbol was built on the tanga in Lucknow
Alt News,This is not a video of the chief guest woman beating the workers after tampering in the Congress office
Alt News,BJP spokesperson shared an old video threatening Narendra Modi which is from Pakistan
Alt News,2015 Facebook post viral showing the wrong statement of former Bangladesh PM Khaleda Zia
Alt News,"The picture of checking of a gun hanging a person was told to Afghanistan Airport, actually Yemen"
Alt News,Al Jazeera's fake screenshot and NDTV report shared in the wrong context
Alt News,Old pictures shared with claims of celebrating Taliban victory in Afghanistan
Alt News,"This viral video of Zaid Hameed, who talks about the killing of Hindus, is 8 years old."
Alt News,Fact-check: This video is to escape from Afghanistan sitting on the wing of the aircraft?
Alt News,"This old video is from Syria, viral by the Taliban's claim of Taliban killing a woman in Afghanistan"
Alt News,"Media reports and BJP leaders' claims wrong, misleading picture of Rohingya refugees was presented"
Alt News,10 -year -old photo was edited to show chains on women's feet in Afghanistan
Alt News,"CNN did not praise the Taliban terrorists for wearing masks, people accepted Satyar as true"
Alt News,BJP supporters shared a picture of a Ukraine project by telling the picture of Vaishnodevi flyover
Alt News,Many people including BJP spokesperson showed Brazil's video in the name of being caught terrorist in Srinagar
Alt News,"Modi's pictures dominated in honor of medal winners, BJP supporters tried to cover-up"
Alt News,Fake tweet was shared in Rahul Gandhi's name about Neeraj Chopra standing on podium
Alt News,"Fact-check: Mosques built illegally in Unnao, luxurious houses were broken?"
Alt News,Video of beating of boy and girl beaten up in family issue was given Hindu-Muslim angle
Alt News,Fact-check: India will preside over the UN Security Council for the first time?
Alt News,Arvind Kejriwal made advertisements on dustbin? Edit photo shared
Alt News,Fact-check: Arvind Kejriwal made petrol 8 rupees 36 paise cheaper in Delhi?
Alt News,Fact-check: The person who describes the Badrinath temple as the dargah of 'Badruddin Shah' is associated with AAP?
Alt News,The poster thanks to Narendra Modi on the victory of Meerabai Chanu at the Olympics is fake
Alt News,Gujarat Congress Seva Dal shared the old picture of Bangladesh showing flood situation in India
Alt News,"Fact-Czech: The first for the first time because of the Government of India, Kailash Mountains?"
Alt News,"Narendra Modi made false praise of Yogi government in speech, wrong claims, wrong figures"
Alt News,Fact-check: Indian football players played barefoot in 1948 Olympics due to Nehru's apathy?
Alt News,The video is being shared by stating that the floods in China 2011 Japan Tsunami turned out
Alt News,Pegasus List: Amnesty overturned by its first report? Media and BJP made wrong claims
Alt News,"""Na Math Mahanta, Na Pheku Sant"" - Dainik Bhaskar did not install any hoardings with this slogan"
Alt News,"Picture of Yamuna Expressway told Delhi-Mumbai Expressway, Transport Minister Nitin Gadkari also tweeted"
Alt News,Show condom in the pocket of the person involved in the farmer demonstration? Educated picture is getting viral
Alt News,"Bandra-Worli C-Link was inaugurated by Sonia Gandhi, people started thanking Narendra Modi"
Alt News,Akhilesh Yadav promised to build a Babri Masjid instead of Ram temple? Fake screenshot viral
Alt News,Old video of ABP News viral as fresh news of Zakir Naik's extradition
Alt News,Fact-check: State governments impose 55% tax on LPG cylinder?
Alt News,Share targeting the picture taken during BJP rule in Kashmir
Alt News,"The old picture of Minto Road was shared in Delhi, people told the current situation of waterlogging"
Alt News,"Fact-check: After Narendra Modi's UAE tour, people have started adopting Hindu culture there?"
Alt News,"In UP, the video of the policemen sitting on the bonnet of the car is not for the tenure of Yogi Adityanath."
Alt News,"BJP supporters shared pictures of women tampering in 2016, targeting SP"
Alt News,Picture of AAP poster was edited and shared with communal claim
Alt News,The video going viral by telling the new Ayodhya railway station turned out to be from Gandhinagar in Gujarat
Alt News,People sabotaged the pump due to the rising price of petrol? Old video viral with wrong claims
Alt News,Rahul Gandhi wants to make India an Islamic nation? ABP News fake graphic viral
Alt News,The picture of Patiala of 2015 was shared by linking it to the peasant movement
Alt News,Will the volunteers of Tokyo Olympics be given medals written 'volunteers'?
Alt News,Fact-check: Mumbai petrol pump published a message not to vote for Modi again on the bill?
Alt News,Fact-check: Arvind Kejriwal got hoardings to congratulate after making speed breakers?
Alt News,Amanatullah Khan shared video of beating of van driver from communal angle after accident
Alt News,A part of the 2015 speech viral with the claim that Narendra Modi was made the president of 153 countries
Alt News,Did most Muslim candidates selection in police sub-inspector examination in West Bengal?
Alt News,The picture that Vijay Goyal tweeted on water shortage in Delhi turned out to be Congress rule
Alt News,The video of Delhi is being shared by telling the video of the beating of the accused of the incident in Ghaziabad
Alt News,False claims of establishing a Muslim country called 'United Malappuram' in Kerala by sharing old videos
Alt News,"News18, Up India misinformed rape on Tikri border, woman sent legal notice"
Alt News,Video of the removal of encroachment in Jammu and Kashmir shares with Rohingya and Bangladeshi Angle
Alt News,"Narendra Modi said in the address that the state wanted to buy the dose of vaccine himself, what is the truth of this claim?"
Alt News,"Fact-check: In the advertisement given for marriage, the girl demanded the groom who had vaccinated?"
Alt News,"In the picture going viral, there is Rahul Gandhi, not 'Ottavio Quattrocchi' with Sonia Gandhi"
Alt News,Fact-check: Women beat the BJP MLA from Amroha with shoes and slippers?
Alt News,This viral video of Ashok Gehlot coming out of the dargah
Alt News,Book related to 'making India a Christian' by editing screenshot and 'Christian country'
Alt News,BJP leaders targeted AAP by sharing a three -year -old picture of Mohalla Clinic
Alt News,Fact-check: The Chief Minister of Chhattisgarh did a 'drama' to take another dose of Kovid vaccine?
Alt News,"The government made a wrong claim that no country in the world is giving vaccine to children, later cleaned"
Alt News,Fact-check: A video of 'Pakistan Zindabad' slogan was revealed when 31 Rohingya was elected in WB?
Alt News,Fact-check: What is the truth of 'Pradhan Mantri Unemployed Allowance Scheme 2021'?
Alt News,BJP members wrong claims that CM Kejriwal only helped the family of Kovid -affected Muslim doctor
Alt News,Toolkit case: Almost the same things were found in Twitter Thread 10 days before the screenshot surfaced.
Alt News,"During the meeting with Sri Lankan PM, Sonia Gandhi insulted the then PM Dr. Manmohan Singh?"
Alt News,"It was claimed that Hamas supporters were demonstrating in Wayanad, the video turned out to be from Qatar country"
Alt News,"Which is being described as the 'Covid toolkit' of the Congress, it is a document made on a fake letterhead"
Alt News,"Some people assaulted the lineman in Sikri, UP, video was shared by connecting Bengal violence"
Alt News,"In 2004, the video of the action of Iraqi army on Iraqi Mazar told about the Al-Axa Mosque of Jerusalam"
Alt News,Fact-check: An elderly man in UP stopped Yogi Adityanath from entering his street?
Alt News,Fact-check: False news of Palestinian children was spread by doing makeup?
Alt News,"Claim of waste of oxygen in Rajasthan is wrong, video of a tanker accident filled with ammonia last year"
Alt News,The video of the crowd gathered in the market for Eid shopping is not from Delhi but from Pakistan
Alt News,Reliance again went viral wrong claim to take credit for oxygen coming from Saudi Arabia
Alt News,"In a funny video, the dead started to run away, people made fake claims connecting Palestine"
Alt News,"The BJP member has written the article of the Daily Guard, praising Narendra Modi's work in the Korona period."
Alt News,Fact-check: The Hindu side is now taking revenge for the violence after the election results in West Bengal?
Alt News,Fact-check: Foreign Minister S Jaishankar met G7 representatives despite being infected?
Alt News,"This video of a person beating a man in front of a crowd is not of Bengal, 4 -year -old Bihar case"
Alt News,"Fact-check: In the viral picture, Sonia and Rahul Gandhi are owner of Khan Chacha Restaurant, Navneet Kalra?"
Alt News,Postcard News falsely accused Muslim volunteers performing the last rites of Hindus in Karnataka
Alt News,"Tejashwi Surya gave communal form to Bangalore's bed scam, incorrect allegations against 16 Muslim employees"
Alt News,Video of family quarrel in Bangladesh is viral by telling BJP female worker 'being picked up' in Bengal
Alt News,The gruesome video of a boy's throat cutting is not from West Bengal but from America
Alt News,"125 schools of RSS were banned in West Bengal 3 years ago, people now started sharing news"
Alt News,"In the picture, Mamata Banerjee's injury on May 1 and the claim to show it right on May 2 is wrong."
Alt News,WB's rape and murder case in Western Medinipur has no relation with electoral violence in Bengal
Alt News,BJP shows a picture of India Today journalist in the name of its worker killed in violence
Alt News,Pictures of the attack on women in Bangladesh shared by linking with violence after West Bengal election results
Alt News,Video being shared by linking with West Bengal violence of Korona victim family in Andhra Pradesh
Alt News,Video of people dancing to the song 'Khele Hobe' with guns and swords not after the results of the WB election
Alt News,3 -year -old photo was shared by linking with violence after the results of West Bengal elections
Alt News,This video being shared by connecting with the violence after the West Bengal election results is from Odisha.
Alt News,Kapil Mishra and Naveen Kumar spread lies while doing politics on oxygen cylinders
Alt News,Journalist Naveen Kumar's video was shared as Rohit Sardana's last time
Alt News,"RSS, the country's second largest covid center, did not make a wrong claim"
Alt News,"LK Advani's parody account did RSS and anti -Modi tweet, people shared by accepting the truth"
Alt News,The same AIIMS was built during the tenure of UPA government? Wrong claims viral
Alt News,Video of fake claim shown in Narendra Modi's program 'Mann Ki Baat'
Alt News,Journalists and BJP supporters joked for the death of Swati Maliwal's maternal grandfather
Alt News,Fact-check: Is a picture of PM Modi being put on death certificate?
Alt News,"Ajit Doval did not praise Uttarakhand secretary for Kumbh Mela, fake letter viral"
Alt News,The picture of burn many pyre together is 9 years old
Alt News,Who runs 'Creately'? - Investigation of Alt News on the website that hates hatred and wrong information
Alt News,Old pictures of Egypt and Indonesia shared by calling a crowd of Ramadan in India
Alt News,Viral video is not of the recent performance of Islamist Party TLP in Pakistan
Alt News,Cudging video share claiming not to gather in Haridwar Kumbh Mela
Alt News,Video of violence at polling booths in Manipur in 2019 shared by linking it to West Bengal elections
Alt News,Old picture of Telangana shared with the claim of BJP leader recovered cash in West Bengal
Alt News,"Fact Check: Rajasthan's mutual rivalry incident, viral with communal and ethnic angle"
Alt News,"CISF jawan shared by BJP leaders was not from Bengal from Jharkhand, Langur attacked"
Alt News,Bengal elections: Pictures of Amit Shah and Narendra Modi were edited and they were told to Sonagachi
Alt News,"In West Bengal, the video being shared by stating 'hooliganism of Muslims' is not from India"
Alt News,2016 video share with the wrong claim of BJP MLA Nand Kishore Gurjar beating BJP MLA Nand Kishore Gurjar on Ghazipur border
Alt News,Newspaper's edited clip and old video share with BJP leader's Naxalite connection
Alt News,A scene of Bhojpuri film shared a view of atrocities on Hindu woman in West Bengal
Alt News,Kejriwal's baby mask the picture before the corona-time
Alt News,"Yogi Adityanath used indecent language, video was not edited"
Alt News,BJP shared the incomplete video of TMC candidate claiming that she is threatening voters.
Alt News,MK Stalin's daughter's house raid share the wrong claim to get Rs 300 crore cash
Alt News,"PM Modi is not greeting the empty field, Congress shared a blurred video"
Alt News,Dilip Ghosh's letter calling BJP weak and the survey showing Mamata Banerjee is fake.
Alt News,"Fact-Czech: This video is for the beating of Wasim Rizvi, who applied to remove 26 verses of the Qur'an?"
Alt News,Fact-check: The Supreme Court rejected the High Court's decision of the reservation list in UP Panchayat elections?
Alt News,Picture of empty chairs during Amit Shah's address 3 years old
Alt News,Fact Check: TMC workers harassed their own candidate Sayoni Ghosh so much that she escaped?
Alt News,"The viral picture is related to another incident in the name of funeral of Bhagat Singh, Rajguru and Sukhdev."
Alt News,The 6 -month -old picture of the anti -France rally held in Bangladesh as a protest against Modi
Alt News,"Rahul Gandhi asked the question in Assam on unemployment, Bagga shared incomplete video in wrong context"
Alt News,"Tejinder Bagga shared Kejriwal's old, incomplete video, told him a supporter of farmer bill"
Alt News,Video of Women's Day celebration in National Health Mission told a woman dancing in the Covid-19 meeting
Alt News,"In the process of targeting BJP, Congress gave false figures, misleading claims about vaccination"
Alt News,Jai Shah's defamation case: Neither law
Alt News,Gajendra Chauhan wrongly claimed the picture of Narendra Modi's picture of his displaced Hindus.
Alt News,Did IT seize 100 crores from Chhattisgarh CM's Deputy Secretary's house?
Alt News,Fact-check: Mamta Banerjee's left leg strip got into the right foot after two days?
Alt News,"Not all BJP MLAs joined Congress in Punjab, wrong claim viral"
Alt News,The Queen of UK thanks Modi? Fake billboard photo viral
Alt News,Fact-Czech: Teachers University made by Arvind Kejriwal in Delhi is the first such university in the country?
Alt News,Allegations of corruption against UPA government in buying army shoes? The wrong claim is viral for many years
Alt News,"UP was not 'Aya' at number two in GDP (GSDP), but was at this rung for years."
Alt News,India Today wrongly claimed to be lower than the rest of the countries of Corona vaccine in India
Alt News,"Viral picture of Amit Shah with Owaisi fake, separate photos added"
Alt News,"Banner is edited inspiring thanks to tax payers instead of Kejriwal, not of India"
Alt News,"Badruddin Ajmal did not talk about creating an Islamic nation, journalists and local media showed edited clips"
Alt News,"'Swagatam Dada' poster made on Sourav Ganguly is fake, many people shared the truth"
Alt News,BJP members described the old picture of Left rally as Modi's rally
Alt News,"AAP leader's bail after Delhi MCD by -election, Congress's tweet is wrong"
Alt News,Trying to surround Uddha Thackeray by sharing a video of 2018 to undress in the lift
Alt News,"Fact-check: During the Kerala assembly elections, BJP candidate promised to give 'good beef'?"
Alt News,"BJP claimed that a Christian cross was held at the Hindu Pujsthal in Andhra Pradesh, the police called it wrong."
Alt News,West Bengal elections: BJP workers are distributing money to people at Yogi Adityanath's rally?
Alt News,"Edged picture of Rahul Gandhi viral, not 'Mughal ruler' behind him but the picture of Mahatma Gandhi"
Alt News,Fact-check: Was the LPG cylinder more expensive during the Congress tenure than the BJP government?
Alt News,The first 5 education ministers of the country were from the same community? Sushil Modi made a wrong claim
Alt News,Fact-check: Amit Shah went on the red carpet and the President had to walk down?
Alt News,Spokesperson tweeted misleading data to show low price of petrol in BJP-ruled states
Alt News,Claim of being a square in the name of Narendra Modi by editing the picture of Pakistan's Chowk viral
Alt News,People shared the parody account after considering Manoj Tiwari's real statement
Alt News,Sharing the edited screenshot claimed that 15 -day lockdown has been announced across Maharashtra.
Alt News,Fact-check: Supporters made a lotus flower pattern to welcome Yogi Adityanath in Kerala?
Alt News,Fact-Czech: Disha Ravi is giving every hearing to his lawyer Akhil Sibal 5-7 lakh rupees?
Alt News,Arvind Kejriwal falsely claimed to hate Gujarat by cutting a part of the old speech
Alt News,Fact-check: The song composed on the peasant movement was sung in the MTV show?
Alt News,Wrong claims calling Disha Ravi as Christian
Alt News,Fact-check: Bajrang Dal demonstrated against the Agriculture Act in Uttar Pradesh?
Alt News,"Times Now printed wrong information, single mother told 22 -year environmental activist Disha"
Alt News,"The picture of Chennai's activist was told by Amulya Noronha, who raised the slogan of Pakistan Zindabad"
Alt News,2 -year -old video of Food Safety Officer accusing BJP MLA of assault
Alt News,The picture of the pastor of Tamil Nadu was shared as the agitating farmer.
Alt News,Tweets made in support of farmer movement from Naseeruddin Shah's fake account
Alt News,"Congress leader Adhir Ranjan wrong claims in Parliament, Amit Shah was not sitting on Rabindranath's chair"
Alt News,Op-India CEO shared fake tweets and targeted singer Karalisa Montero
Alt News,Old video was shared by false claims of alcohol distribution during farmer demonstration
Alt News,"Op-India became a victim of editing, fake screenshot of Ghata's name Gazala Bhat viral"
Alt News,The video of Modi's praise of Modi is not a peasant movement or Jat support to Modi
Alt News,Sudarshan News played an old video of the attack on the bus by calling Nihang Sikhs Khalistani
Alt News,Fact-Czech: The New York Times printed an article in praise of PM Modi?
Alt News,"With the help of old edited picture, Anna Hazare's false claim of joining BJP viral"
Alt News,The picture of the 2 -year -old bullock cart rally was shared by linking it to the farmer movement
Alt News,"This picture is actually of the policeman, there is no connection with the farmer movement"
Alt News,200 policemen resigned in the farmer movement? Ranchi's old video shared
Alt News,Video of Pro-CAA rally told slogans in support of Delhi Police in farmer demonstration
Alt News,Sambit Patra shared the edited video describing Arvind Kejriwal as a supporter of the farmer bill
Alt News,"BJP workers came out in demonstration against farmers on Singhu border, who were described as 'local people'"
Alt News,Many fake Twitter accounts were created in the name of Rakesh Tikait of BKU as soon as they came in the headlines.
Alt News,"The tractor crushing protesters was neither in Delhi nor included in the rally, wrong claims went viral"
Alt News,"Dr. Kafil Khan drove a tractor in Jaipur, not in Delhi rally"
Alt News,"Fact-check: During the SP government, the person who was offered prayers in the UP tableau was shown?"
Alt News,"Picture of injuries on the back of a person wearing a turban, 2019, has nothing to do with farmer performance"
Alt News,"India's video is not from India, humiliating the Indian national flag"
Alt News,Another video viral with misleading claims of removing India's flag on Red Fort
Alt News,Demonstrating farmers neither removed the tricolor nor Khalistani flag on the Red Fort
Alt News,Fact-check: Did Bidon sit on her knees and apologize to George Floid's daughter?
Alt News,"BJP Bengal shared incomplete and old video of Mamata Banerjee, many channels also run it"
Alt News,Bengal BJP shared a picture of a fire in California to target TMC
Alt News,Incomplete video is being done to show Rahul Gandhi against farmers
Alt News,Old video of a person pouring water on grain sacks to discredit farmers viral
Alt News,BJP leader Rajesh Bhatia's fake letter viral while talking about crushing peasant movement
Alt News,"Fake clip of newspaper viral, fake statements to kill Muslims and farmers in Modi's name"
Alt News,"Delhi High Court ordered to break the Hanuman temple, AAP-BJP-Congress fierce politics"
Alt News,Fact-check: Mumbai Police saluted Hazrat Pir Makhdoom Shah Baba due to Shiv Sena?
Alt News,Pak PM Imran Khan praised the Modi government? Share a part of speech with incorrect reference
Alt News,Who was the pro -Trump supporter who waves the tricolor in Capital Hill? BJP or Congress Supporter?
Alt News,Fact-check: BJP leaders requested Rajnath Singh to withdraw the Agricultural Bill?
Alt News,5 -year -old photo of Sikh person offering prayers to the farmer movement
Alt News,Fact-check: Performing farmers on the signboards of the National Highway?
Alt News,"BJP's Preeti Gandhi did not claim husband escape from Capital Hill, fake tweet viral"
Alt News,Incorrect reporting of Indian media: Pakistani diplomat did not say 300 deaths in Balakot
Alt News,2020 fake information: from anti-CAA demonstrations to Covid-19 and farmer demonstrations
Alt News,"The picture of a person seeking to release Kashmiri leaders is not of the peasant movement, but 2019"
Alt News,"Sharing a picture of Mahakumbh of 2013, told the picture of the tents of the displayed farmers"
Alt News,Fact-check: The clerics claiming to have chip in the corona vaccine are from India?
Alt News,Share being shared by connecting the picture of Pride March in Kolkata with JNU and Left
Alt News,Fact-check: Has the Modi government removed the 'Neshnaness Indian' column from the passport?
Alt News,"By sharing the old video of Rajasthan, it was claimed that farmers attacked BJP MLA Uday Singh"
Alt News,Fact-check: National Geographic magazine published a picture of the farmer on the cover page?
Alt News,Photo of Axis Bank's fake check repeatedly shared to target political parties
Alt News,The car seen in the picture of the farmer demonstration going viral is not a Mercedes of 1.5 crores
Alt News,"The person seen in the picture with Narendra Modi is not Anna Hazare, but his Guru Laxman is Inamdar"
Alt News,"Bullet was fired in land quarrel, video shared with the claim of NCP leader Arbaaz Khan being beaten"
Alt News,Share a picture of 2018 with the claim of another farmer's death in farmer demonstration
Alt News,BJP MP did not 'abuse' but used derogatory word for farmers forced to perform
Alt News,"The 'happy farmer' picture of BJP included in the performance, ridiculous rescue of opindia"
Alt News,"Fact-check: Taking advantage of Narendra Modi's post, his relatives earned millions?"
Alt News,Angry Mamta Banerjee on BJP? Video more than 10 years old video viral with wrong claims
Alt News,The 3 -year -old picture was shared as a baby girl feeding in the farmer performance
Alt News,"Twitter failed to stop suspended users, many Pro-BJP handles came back by second name"
Alt News,"PIB told the advertisement for recruitment in Intelligence Bureau, the ministry told this fact-check wrong"
Alt News,"Woman Preeti is not Adani seen with Narendra Modi in this picture, wrong claim viral"
Alt News,"Wagah border is not hoisted in Hyderabad flag, wrong claim with video is viral"
Alt News,"VM Singh, the owner of the assets worth 600 crores to be involved in the farmers' demonstration, is associated with the Congress?"
Alt News,Congress leaders Sardar Vallabhbhai Patel Airport name to name Adani Airport
Alt News,Sharing old pictures of the performance claimed 'huge crowd' in the peasant movement
Alt News,Army's Pro dismissed the military troops and cannons to reach Delhi for the peasant movement
Alt News,"Tariq Fatah among farmer demonstrations, up India 2019 brought videos of anti -national slogans"
Alt News,Tick-talk video made in lockdown viral from Modi's support in farmer demonstrations
Alt News,Hollywood actresses use pictures with lewd comments to target Sonia Gandhi
Alt News,Pakistani users shared a video of fake Indian Army soldier and connected him with the farmer movement
Alt News,Video of 2016 rally against Punjab government was shared as farmer movement
Alt News,"""There is too much democracy"": NITI Aayog's CEO Amitabh Kant said this twice and refused again"
Alt News,Old pictures were shared with claims of sabotage in vegetable shops during Bharat Bandh
Alt News,"BJP MLA's wrong claim, Shiv Sena government did not remove 'Hindu' option from board examination form"
Alt News,Fact-check: Barack Obama tweeted 'embarrassment' when joined hands with PM Modi?
Alt News,"Shoes were not placed on Indian flag in peasant movement, 2013 pictures of London viral"
Alt News,Justin Trudeau's 2015 gurdwara tour photo shared by linking it to recent farmer performance
Alt News,The picture through which the Congress attacked the Modi government came out in 2008 and Bangladesh came out
Alt News,"Shehla Rashid did not arrest in 2016 JNU case, India Today gave wrong information"
Alt News,BJP leaders shared a picture of US Navy ship congratulating Indian Navy Day
Alt News,Pictures of Shaheen Bagh claimed to perform 'fake farmers' by stating that farmer performance
Alt News,Kamla Harris's tweet being shared about the Indian farmer movement is fake
Alt News,Picture edited in the name of 'Sardar without mustache' in farmer performance viral
Alt News,The old video of calling people by paying money in AAP rally was shared by linking it to farmer performance
Alt News,Share being shared by linking the 2018 picture of the banner of the banner written by the current farmer performance
Alt News,Fact-check: Retired Army Officer injured during the farmer movement?
